name,price,No_of_rating,rating,description,category
"Tata Salt, 1kg",₹24.00,"66,526",N/A,"Tata Salt, 1kg",Grocery
"Fortune Sunlite Refined Sunflower Oil, 1L",₹180.00,"36,534",N/A,"Fortune Sunlite Refined Sunflower Oil, 1L",Grocery
"Tata Sampann Unpolished Toor Dal/Arhar Dal, 1kg",₹260.00,"27,221",N/A,"Tata Sampann Unpolished Toor Dal/Arhar Dal, 1kg",Grocery
"MAGGI 2-Minute Instant Noodles, Masala Noodles With Goodness Of Iron, Made With Choicest Quality Spices, Favourite Masala Taste, 70G ( Pack Of 12 ), 840 Gram",₹144.00,"25,356",N/A,"MAGGI 2-Minute Instant Noodles, Masala Noodles With Goodness Of Iron, Made With Choicest Quality Spices, Favourite Masala Taste, 70G ( Pack Of 12 ), 840 Gram",Grocery
"Fortune Premium Kachi Ghani Pure Mustard Oil, 1 ltr pouch",₹165.00,"66,269",N/A,"Fortune Premium Kachi Ghani Pure Mustard Oil, 1 ltr pouch",Grocery
"Fortune Premium Kachi Ghani Pure Mustard Oil, 1Litre PET Bottle",₹171.00,"31,692",N/A,"Fortune Premium Kachi Ghani Pure Mustard Oil, 1Litre PET Bottle",Grocery
"Aashirvaad Salt,with 4-STEP ADVANTAGE, 1kg",₹209.00,"30,419",N/A,"Aashirvaad Salt,with 4-STEP ADVANTAGE, 1kg",Grocery
"Tata Sampann Unpolished Moong Dal (Split), 1Kg",₹102.00,"28,826",N/A,"Tata Sampann Unpolished Moong Dal (Split), 1Kg",Grocery
"Tata Himalayan Rock Pink Salt, 1kg Pouch, Premium Sendha Namak, With Natural Trace Minerals, Low Sodium, Crystal Salt",₹182.00,"16,278",N/A,"Tata Himalayan Rock Pink Salt, 1kg Pouch, Premium Sendha Namak, With Natural Trace Minerals, Low Sodium, Crystal Salt",Grocery
"Lay's Potato Chips 48 Gram, American Style Cream & Onion Flavour, Crunchy Chips & Snacks (Weight May Vary)",₹80.00,"31,424",N/A,"Lay's Potato Chips 48 Gram, American Style Cream & Onion Flavour, Crunchy Chips & Snacks (Weight May Vary)",Grocery
"Quaker Oats 1kg, Rolled Oats Natural Wholegrain, Nutritious Breakfast Cereals, Dalia Porridge, Easy to Cook",₹145.00,"23,116",N/A,"Quaker Oats 1kg, Rolled Oats Natural Wholegrain, Nutritious Breakfast Cereals, Dalia Porridge, Easy to Cook",Grocery
"Tata Sampann Unpolished Green Moong Dal (Whole), 500g",₹348.00,"12,184",N/A,"Tata Sampann Unpolished Green Moong Dal (Whole), 500g",Grocery
"Fortune Rice Bran Health Oil, Cooking Oil for Healthier Heart, 1L Pouch",₹229.00,"18,688",N/A,"Fortune Rice Bran Health Oil, Cooking Oil for Healthier Heart, 1L Pouch",Grocery
Kellogg's Muesli Fruit Nut & Seeds 750G | 12-In-1 Power Breakfast | India'S No. 1 Muesli | Multigrain Breakfast Cereal,₹161.00,"30,549",N/A,Kellogg's Muesli Fruit Nut & Seeds 750G | 12-In-1 Power Breakfast | India'S No. 1 Muesli | Multigrain Breakfast Cereal,Grocery
Amazon Brand - Vedaka Raw Peanuts | Pink | 1kg | Premium Moongfali,₹60.00,"30,993",N/A,Amazon Brand - Vedaka Raw Peanuts | Pink | 1kg | Premium Moongfali,Grocery
"Tata Sampann 100% Chana Dal Fine Besan, Gram Flour, 1 Kg",₹330.00,"13,209",N/A,"Tata Sampann 100% Chana Dal Fine Besan, Gram Flour, 1 Kg",Grocery
"Parle Hide and Seek Chocolate Chip Cookies, 200g",₹86.00,"22,291",N/A,"Parle Hide and Seek Chocolate Chip Cookies, 200g",Grocery
Girnar Detox Green Tea - Desi Kahwa (36 Tea Bags),₹472.00,"23,026",N/A,Girnar Detox Green Tea - Desi Kahwa (36 Tea Bags),Grocery
"Fortune Chakki Fresh Atta, 5 kg, 100% Atta 0% Maida",N/A,"18,966",N/A,"Fortune Chakki Fresh Atta, 5 kg, 100% Atta 0% Maida",Grocery
"Uttam Sugar Sulphurless Sugar, 1kg",N/A,"12,748",N/A,"Uttam Sugar Sulphurless Sugar, 1kg",Grocery
"Tata Sampann Turmeric Powder With Natural Oils, 200g, Haldi Powder",N/A,"14,401",N/A,"Tata Sampann Turmeric Powder With Natural Oils, 200g, Haldi Powder",Grocery
Tata Tea Gold Premium Assam Teas With Gently Rolled Aromatic Long Loose Leaves Rich & Aromatic Chai Black Tea 1 Kg,N/A,"29,263",N/A,Tata Tea Gold Premium Assam Teas With Gently Rolled Aromatic Long Loose Leaves Rich & Aromatic Chai Black Tea 1 Kg,Grocery
"Aashirvaad Atta with Multigrains, 5kg pack, The High Fibre Atta",N/A,"54,415",N/A,"Aashirvaad Atta with Multigrains, 5kg pack, The High Fibre Atta",Grocery
"POCO M6 5G, Orion Blue (4GB, 64GB)","₹7,999.00",17,N/A,"POCO M6 5G, Orion Blue (4GB, 64GB)",Electronics
"Oneplus Bullets Z2 Bluetooth Wireless in Ear Earphones with Mic, Bombastic Bass - 12.4 mm Drivers, 10 Mins Charge - 20 Hrs Music, 30 Hrs Battery Life, IP55 Dust and Water Resistant (Magico Black)","₹1,299.00","177,889",N/A,"Oneplus Bullets Z2 Bluetooth Wireless in Ear Earphones with Mic, Bombastic Bass - 12.4 mm Drivers, 10 Mins Charge - 20 Hrs Music, 30 Hrs Battery Life, IP55 Dust and Water Resistant (Magico Black)",Electronics
"Samsung Galaxy M05 (Mint Green, 4GB RAM, 64 GB Storage) | 50MP Dual Camera | Bigger 6.7"" HD+ Display | 5000mAh Battery | 25W Fast Charging | 2 Gen OS Upgrade & 4 Year Security Update | Without Charger","₹7,999.00",564,N/A,"Samsung Galaxy M05 (Mint Green, 4GB RAM, 64 GB Storage) | 50MP Dual Camera | Bigger 6.7"" HD+ Display | 5000mAh Battery | 25W Fast Charging | 2 Gen OS Upgrade & 4 Year Security Update | Without Charger",Electronics
"Apple 20W USB-C Power Adapter (for iPhone, iPad & AirPods)","₹1,549.00","85,533",N/A,"Apple 20W USB-C Power Adapter (for iPhone, iPad & AirPods)",Electronics
"Samsung Original 25W Type-C Travel Adaptor without Cable, White",₹980.00,"45,127",N/A,"Samsung Original 25W Type-C Travel Adaptor without Cable, White",Electronics
boAt Bassheads 100 in Ear Wired Earphones with Mic(Black),₹298.00,"397,817",N/A,boAt Bassheads 100 in Ear Wired Earphones with Mic(Black),Electronics
"Redmi 13C 5G (Starlight Black, 4GB RAM, 128GB Storage) | MediaTek Dimensity 6100+ 5G | 90Hz Display","₹8,999.00","9,674",N/A,"Redmi 13C 5G (Starlight Black, 4GB RAM, 128GB Storage) | MediaTek Dimensity 6100+ 5G | 90Hz Display",Electronics
